id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,likes,quotes,replies,retweets,searchQuery,text,timestamp,user/location,verified,sentiment
1.65283e+18,0.0,1.0,0.0,0.0,0.8980986475944519,0.09052034467458725,0.011380976997315884,0,0,2,0,Amazon,"If you find these transactions, the first thing you need to do is go to the US amazon website and cancel your subscription on there (you keep your Aus sub), then contact their customer support and tell them about it.",2023-05-01 00:59:00,"Melbourne, Victoria",False,neutral
1.65283e+18,0.0,1.0,0.0,0.0,0.8980986475944519,0.09052034467458725,0.011380976997315884,0,0,0,0,Amazon,"Sherlock Holmes and the Case of the Perplexed Politician is available from Amazon USA.
amazon.com/Sherlock-Holmes-C…",2023-05-01 00:59:00,"Melbourne, Australia",False,neutral
1.65283e+18,0.0,1.0,0.0,0.0,0.8980986475944519,0.09052034467458725,0.011380976997315884,0,0,0,0,Amazon,Amazon,2023-05-01 00:59:00,神奈川県横浜市,False,negative
1.65283e+18,0.0,1.0,0.0,0.0,0.8980986475944519,0.09052034467458725,0.011380976997315884,0,0,0,0,Amazon,"Well yeah, duh lol",2023-05-01 00:59:00,"Iowa, USA",False,neutral
1.65283e+18,0.0,1.0,0.0,0.0,0.8980986475944519,0.09052034467458725,0.011380976997315884,0,0,1,0,Amazon,"@amazon we paying over $100 for Prime, 2-day shipping is cap and we can’t even watch the movies, what are we really paying for?",2023-05-01 00:59:00,🌑,False,neutral
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,1,0,0,0,Amazon,We want to thank you for your feedback. It's important for us to know how customers react to all aspects of shopping at Amazon. Please let us know if you need any future assistance as we're here to help. -Renee,2023-05-01 00:59:00,,False,neutral
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,0,0,1,0,Amazon,"Friendly reminder that if you are subscribed to @amazon #prime or even @Twitch prime in Australia, to check your bank for a transaction/s like the one in the picture. Amazon will start charging you for both the Australian AND American prime and steal money from your bank.",2023-05-01 00:58:00,"Melbourne, Victoria",False,neutral
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,4,0,0,0,Amazon,"im obsessed with this amazon brand, but this has to be my FAV dress ever!!!!! amazon.com/dp/B0BGY3VKCB?ref… like are you serious? buying it for a wedding in june lol",2023-05-01 00:58:00,,True,negative
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,0,0,0,0,Amazon,"“The Interview Prodigy” - Amazon Kindle & Audible Series (free promo codes). 1: AI SW Engineer -  ChatGPT, Bard & Beyond (Audible-coming soon), 2: JavaScript Full Stack Developer-Capture the Job Offer (Audible code: ABCMHQX2M7W4W). Access today on Kindle: tinyurl.com/8a5n23aa",2023-05-01 00:58:00,"San Francisco, CA",False,neutral
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,0,0,0,0,Amazon,Amazon Prime Members Get Star Wars: Rogue Squadron 3D for PC on May the 4th! buff.ly/44cUrU9 #StarWars #Maythe4th #RogueSqadron #Amazon,2023-05-01 00:58:00,"Georgia, USA",False,neutral
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,1,0,1,0,Amazon,Amazon owns TR now right?,2023-05-01 00:58:00,,False,neutral
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,0,0,0,0,Amazon,"🟢 [RTX 3050] ASUS Phoenix GeForce RTX 3050 8G Gaming Grafikkarte 
Price : 287€
Amazon DE - 🇩🇪
dropreference.com/link?id=AZ…
#ad #GPU",2023-05-01 00:58:00,,False,positive
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,1,0,0,0,Amazon,"Check out ""Streets of Philadelphia (Single Edit)"" by Bruce Springsteen on Amazon Music. music.amazon.co.uk/albums/B0…",2023-05-01 00:58:00,"Manchester, England",False,neutral
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,0,0,0,0,Amazon,"🟢 [RTX 3060] ASUS Phoenix GeForce RTX 3060 12G V2 Gaming Grafikkarte 
Price : 348€
Amazon DE - 🇩🇪
dropreference.com/link?id=AZ…
#ad #GPU",2023-05-01 00:58:00,,False,positive
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,5,0,1,1,Amazon,"Coming to Amazon's Prime Video in May: Comedy specials from Jimmy O. Yang and Zarna Garg, classic shows like ""Beverly Hills 90210"" and ""Freaks and Geeks,"" and more.
trib.al/eKKQ48h",2023-05-01 00:59:00,"New York, NY",True,positive
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,0,0,0,0,Amazon,Win one of Two $50 Amazon Gift Cards on May 1st! #readmorebooks kingsumo.com/g/rx3fkm/win-on…,2023-05-01 00:57:00,Turkey,False,neutral
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,11,0,9,0,Amazon,Yeah stand up straight with shoulders back and begin by being the absolute best freaking Amazon worker ever. Starting tomorrow.,2023-05-01 00:57:00,"Winston-Salem, NC",True,neutral
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,6,0,1,1,Amazon,"our interview with @investigatorchi on the @brakesec stream!  We'll discuss her upcoming book, available for pre-order on @WileyGlobal and #amazon Join us at twitch.tv/brakesec or watch the stream on YouTube or LinkedIn at 6:30pm Pacific! #streaming #infosec",2023-05-01 00:57:00,San Diego,False,neutral
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,0,0,0,0,Amazon,Enter today to win a $10 Amazon Gift Card on Emmygatrell.com! rafflecopter.com/rafl/displa…,2023-05-01 00:57:00,"NYC, NY",False,positive
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,0,0,0,0,Amazon,You could win a $10 Amazon Gift Card by visiting Emmy Gatrell's April 2023 Book Fair! emmygatrell.com rafflecopter.com/rafl/displa…,2023-05-01 00:57:00,"NYC, NY",False,positive
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,0,0,1,0,Amazon,Yes... But if Amazon 1p is selling... sometimes you get free inventory,2023-05-01 00:57:00,Sellersburg IN,True,neutral
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,21,0,1,0,Amazon,"""Did"" in Seattle?  Dude, Boeing is STILL HERE.  Still one of the largest employers in the state, along with Microsoft, Google, Facebook, Amazon, etc.

Only their HQ moved.  Not manufacturing! They built another plant in SC, but they're STILL HERE.

PLENTY of workers, many at home",2023-05-01 00:57:00,Sleepless Near Seattle,False,neutral
1.65282e+18,0.0,0.715,0.285,0.2481,0.004817735869437456,0.13132445514202118,0.8638578057289124,0,0,1,0,Amazon,Is there away to ask for shoes to be packed in a box & not squashed in plastic wrap?,2023-05-01 00:57:00,,False,neutral
